"additionalInfoDescription1","additionalInfoDescription2","additionalInfoDescription3","additionalInfoDescription4","additionalInfoDescription5","additionalInfoDescription6","additionalInfoTitle1","additionalInfoTitle2","additionalInfoTitle3","additionalInfoTitle4","additionalInfoTitle5","additionalInfoTitle6","collections","customTextCharLimit1","customTextCharLimit2","customTextField1","customTextField2","customTextMandatory1","customTextMandatory2","description","discountMode","discountValue","fieldType","handleIds","inventory","name","price","productImageUrl","productOptionDescription1","productOptionDescription2","productOptionDescription3","productOptionDescription4","productOptionDescription5","productOptionDescription6","productOptionName1","productOptionName2","productOptionName3","productOptionName4","productOptionName5","productOptionName6","productOptionType1","productOptionType2","productOptionType3","productOptionType4","productOptionType5","productOptionType6","ribbon","sku","surcharge","visible","weight"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc0","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc1","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc2","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Key Lanyard","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc3","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Long Hair Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc4","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Pleated Masks","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc5","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Scrub Caps","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc6","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Tear Drop Coin Purse","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc7","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Zippy Clutch","","","","","","","","PERCENT","0.0","Product","product_e7796776-03b7-7914-03a7-932ed93c3ccc8","InStock","Snow White","10.0","a680d7_d7d891462e8b48d0894a9407ddacbc28~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Bouffant Scrub Cap","","","","","","","","PERCENT","0.0","Product","product_554d88e3-765c-32e0-910d-fa3570b28a860","InStock","Floral blizz","10.0","a680d7_5b519ca034de4befadd572c341fa6923~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Domino Fitted Mask","","","","","","","","PERCENT","0.0","Product","product_554d88e3-765c-32e0-910d-fa3570b28a861","InStock","Floral blizz","10.0","a680d7_5b519ca034de4befadd572c341fa6923~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
"","","","","","","","","","","","","Harlequin Clutch","","","","","","","","PERCENT","0.0","Product","product_554d88e3-765c-32e0-910d-fa3570b28a862","InStock","Floral blizz","10.0","a680d7_5b519ca034de4befadd572c341fa6923~mv2.jpg","","","","","","","","","","","","","","","","","","","","","","true","0.0"
